Armazém de Dados,,,,,,,
,,,,,,,
Tabela 349,"Bibliotecas - especializadas por tamanho do acervo, segundo as Regiões Administrativas e Bairros - 2007",,,,,,
,,,,,,,
Regiões,,,,,,,
Administrativas,Bairros,Bibliotecas,Acervo (aproximado),,,,
,,,,,,,
Total,10,31, 21 415 500,,,,
,,,,,,,
II  Centro,1,20, 17 400 000,,,,
,Centro,Nacional, 9 000 000,,,,
,,Do Centro de Inf. da ONU,  15 000,,,,
,,Histórica do Itamaraty, 6 000 000,,,,
,,Museu Nacional de Belas Artes,ND,,,,
,,Centro de Documentação e Informação em Arte, 1 000 000,,,,
,,Do Centro Cultural Banco do Brasil,  120 000,,,,
,,Do Instituto Histórico e Geográfico Brasileiro,  500 000,,,,
,,Do Instituto Brasileiro de Mercado de Capitais,  18 000,,,,
,,Biblioteca Acadêmica Lúcio de Mendonça (ABL),  20 000,,,,
,,Arquivo Nacional,ND,,,,
,,Da Academia de Polícia,ND,,,,
,,Da Assembléia Legislativa do Rio de Janeiro,ND,,,,
,,Bastos Tigre (Associação Brasileira de Imprensa),  9 000,,,,
,,Da Marinha,  110 000,,,,
,,Do Exército (BIBLIEx),ND,,,,
,,Euclides da Cunha,  150 000,,,,
,,Paulo Santos (Paço Imperial/IPHAN),  8 000,,,,
,,Biblioteca Rodolfo Garcia (vinculada à ABL),70000,,,,
,,Real Gabinete Português de Leitura,  350 000,,,,
,,Da Academia Brasileira de Ciências,  30 000,,,,
III  Rio Comprido,1,1, 3 500 000,,,,
,Cidade Nova,Arquivo Geral da Cidade do Rio de Janeiro, 3 500 000,,,,
IV  Botafogo,4,6,  190 650,,,,
,Flamengo,Do Instituto Fernandes Figueiras,ND,,,,
,,,,,,,
,Botafogo,Biblioteca Mario Henrique Simonsen (FGV),  136 000,,,,
,,Marechal Rondon (Museu do Índio - FUNAI),  17 150,,,,
,,Da Fundação Casa de Rui Barbosa (museu?),  37 000,,,,
,,,,,,,
,Laranjeiras,Casa de Leitura,   500,,,,
,,,,,,,
,Urca,General Lobo Viana,ND,,,,
VI  Lagoa,1,1,  108 700,,,,
 ,Jardim Botânico,Barbosa Rodrigues,  108 700,,,,
VII  São Cristóvão,1,1,  7 000,,,,
,São Cristóvão,Do Museu de Astronomia-MAST,  7 000,,,,
IX  Vila Isabel,1,1,  181 150,,,,
,Maracanã,Do IBGE,  181 150,,,,
X  Ramos,1,1,  28 000,,,,
,Manguinhos,Fundação Oswaldo Cruz,  28 000,,,,
,,,,,,,
,,,,,,,
"Fonte: Internet, sites das instituições.",,,,,,,
Nota: ND - Informação não disponível.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
